Марка;Ссылка;Цена в долларах;Цена в грн.;Город
Nissan Leaf 2022 N-Connecta  40kWh AT (150 к.с.);https://auto.ria.com/newauto/auto-nissan-leaf-1883052.html;30 194 $;1 069 480 грн;Черкассы
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885922.html;19 438 $;688 500 грн;Львов
Nissan Juke 2022 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885479.html;22 955 $;813 070 грн;Житомир
Nissan X-Trail 2021 Acenta New FL 1.6dCi CVT (130 к.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1881676.html;27 280 $;966 257 грн;Ужгород
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885478.html;19 023 $;673 800 грн;Полтава
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1884248.html;31 166 $;1 103 890 грн;Житомир
Nissan Juke 2022 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880302.html;21 653 $;769 100 грн;Киев
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1866584.html;22 690 $; 23 442 $;Полтава
Nissan Qashqai 2021 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1883750.html;34 928 $; 36 369 $;Полтава
Nissan Qashqai 2022 Acenta 1.3 DIG-T MT (130 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1884719.html;23 857 $; 26 917 $;Полтава
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877513.html;19 576 $;694 370 грн;Житомир
Nissan X-Trail 2021 Acenta New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1884654.html;26 595 $;942 000 грн;Тернополь
Nissan Qashqai 2022 Visia 1.3 DIG-T MT (130 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1884657.html;21 596 $;764 920 грн;Полтава
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1880795.html;30 639 $;1 085 250 грн;Кропивницкий (Кировоград)
Nissan X-Trail 2021 N-Connecta New FL 2.0 CVT (144 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1884648.html;28 639 $;1 014 390 грн;Тернополь
Nissan Juke 2021 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880660.html;18 102 $;641 180 грн;Тернополь
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1881594.html;31 131 $;1 103 890 грн;Хмельницкий
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1880898.html;29 448 $;1 043 050 грн;Хмельницкий
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880887.html;19 582 $;694 370 грн;Хмельницкий
Nissan Juke 2022 N-Connecta Parking 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877525.html;21 658 $;767 110 грн;Хмельницкий
Nissan Juke 2021 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877526.html;18 102 $;641 180 грн;Хмельницкий
Nissan Juke 2021 SV Enigma 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1869453.html;22 972 $;814 820 грн;Тернополь
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877528.html;19 416 $;688 500 грн;Хмельницкий
Nissan Juke 2022 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1866369.html;22 824 $;809 780 грн;Хмельницкий
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1866059.html;23 277 $;825 620 грн;Хмельницкий
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1884733.html;20 978 $;743 040 грн;Львов
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880669.html;19 411 $;688 500 грн;Тернополь
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877527.html;19 438 $;688 500 грн;Хмельницкий
Nissan X-Trail 2021 Tekna New FL 2.0 CVT (144 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1877376.html;31 606 $;1 121 070 грн;Тернополь
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1877371.html;23 059 $;819 750 грн;Тернополь
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885789.html;19 513 $;692 500 грн;Ужгород
Nissan Juke 2022 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1878782.html;18 102 $; 18 641 $;Кропивницкий (Кировоград)
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1883311.html;22 836 $;810 000 грн;Одесса
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1878381.html;19 438 $;688 500 грн;Одесса
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1882643.html;32 403 $;1 149 000 грн;Черкассы
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1882299.html;19 438 $;688 500 грн;Черкассы
Nissan Juke 2021 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1873153.html;19 190 $;680 875 грн;Черкассы
Nissan Qashqai 2022 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1883907.html;27 087 $;959 430 грн;Одесса
Nissan Juke 2022 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1883140.html;23 673 $;839 690 грн;Черкассы
Nissan Qashqai 2022 Tekna 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1882776.html;34 739 $;1 230 470 грн;Кропивницкий (Кировоград)
Nissan Juke 2021 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1878778.html;22 955 $;813 070 грн;Одесса
Nissan Qashqai 2022 Visia 1.3 DIG-T MT (130 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885811.html;22 176 $;785 490 грн;Кропивницкий (Кировоград)
Nissan Qashqai 2022 Tekna 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1880903.html;33 331 $;1 182 250 грн;Киев
Nissan Qashqai 2021 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1884313.html;35 808 $;1 270 480 грн;Одесса
Nissan Qashqai 2022 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1878489.html;36 221 $;1 284 750 грн;Одесса
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1871479.html;32 900 $;1 165 320 грн;Кропивницкий (Кировоград)
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885780.html;18 996 $;673 800 грн;Кропивницкий (Кировоград)
Nissan Qashqai 2021 Tekna 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885027.html;31 969 $;1 132 350 грн;Черкассы
Nissan Qashqai 2022 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1880042.html;27 207 $;965 300 грн;Кропивницкий (Кировоград)
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1883943.html;28 919 $;1 024 300 грн;Днепр (Днепропетровск)
Nissan Qashqai 2021 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1878951.html;27 087 $;959 430 грн;Ивано-Франковск
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1883937.html;19 481 $;690 000 грн;Днепр (Днепропетровск)
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1866294.html;20 553 $;728 000 грн;Киев
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1884717.html;20 974 $;742 900 грн;Днепр (Днепропетровск)
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1884032.html;19 371 $;690 000 грн;Днепр (Днепропетровск)
Nissan X-Trail 2021 Acenta New FL 1.6dCi CVT (130 к.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1881412.html;27 249 $;966 257 грн;Ужгород
Nissan Juke 2021 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1867672.html;22 437 $;796 950 грн;Одесса
Nissan X-Trail 2021 N-Connecta New FL 2.0 CVT (144 к.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1883155.html;26 112 $;925 920 грн;Одесса
Nissan Juke 2021 Visia 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1865260.html;15 967 $;565 540 грн;Белая Церковь
Nissan Juke 2021 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1882853.html;18 242 $; 19 030 $;Ровно
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885325.html;21 108 $;748 910 грн;Киев
Nissan Qashqai 2021 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1879735.html;35 818 $;1 270 480 грн;Винница
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1865054.html;20 099 $;711 910 грн;Ровно
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1880591.html;20 901 $;743 040 грн;Киев
Nissan Qashqai 2021 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1883042.html;35 818 $;1 270 480 грн;Ровно
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1882105.html;31 870 $;1 128 850 грн;Киев
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1881402.html;20 486 $; 21 141 $;Полтава
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885739.html;19 438 $;688 500 грн;Киев
Nissan Leaf 2022 N-Connecta  40kWh AT (150 к.с.);https://auto.ria.com/newauto/auto-nissan-leaf-1883674.html;29 613 $;1 048 910 грн;Ровно
Nissan Juke 2021 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885737.html;22 040 $; 22 569 $;Киев
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885900.html;19 731 $;698 865 грн;Ровно
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1886039.html;19 394 $;688 500 грн;Киев
Nissan Qashqai 2022 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1885175.html;37 197 $;1 317 520 грн;Киев
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1870989.html;23 252 $;823 590 грн;Одесса
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1881946.html;23 145 $;819 790 грн;Одесса
Nissan X-Trail 2021 N-Connecta New FL 2.0 CVT (144 к.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1883156.html;26 104 $;925 920 грн;Одесса
Nissan Juke 2022 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885436.html;19 394 $;688 500 грн;Киев
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1883512.html;31 056 $;1 100 000 грн;Киев
Nissan Qashqai 2021 Tekna + 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1885126.html;34 928 $; 36 782 $;Винница
Nissan Juke 2022 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1882494.html;23 292 $; 23 839 $;Винница
Nissan X-Trail 2021 N-Connecta New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1882993.html;27 950 $;990 000 грн;Днепр (Днепропетровск)
Nissan Juke 2022 Base 1.0 DIG-T AT (117 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885047.html;22 665 $;803 910 грн;Киев
Nissan Juke 2022 Individual 1.0 DIG-T AT (117 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885037.html;23 277 $;825 620 грн;Киев
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885076.html;22 690 $;805 050 грн;Винница
Nissan Qashqai 2022 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885472.html;26 672 $;944 730 грн;Винница
Nissan X-Trail 2021 N-Connecta New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1878247.html;29 080 $;1 030 000 грн;Винница
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1882995.html;32 194 $;1 140 300 грн;Днепр (Днепропетровск)
Nissan Juke 2021 N-Connecta Parking 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885434.html;20 943 $; 21 536 $;Винница
Nissan X-Trail 2021 N-Connecta New FL 1.6dCi CVT (130 к.с.);https://auto.ria.com/newauto/auto-nissan-x-trail-1884625.html;27 964 $;990 500 грн;Харьков
Nissan Juke 2021 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885085.html;17 662 $; 18 077 $;Винница
Nissan Qashqai 2022 Acenta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885092.html;26 672 $;944 730 грн;Винница
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1883055.html;23 256 $;825 600 грн;Днепр (Днепропетровск)
Nissan Juke 2022 Individual 1.0 DIG-T AT (117 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885046.html;20 978 $;743 040 грн;Киев
Nissan Juke 2022 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885043.html;17 662 $;626 480 грн;Киев
Nissan Qashqai 2021 Tekna 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885294.html;31 390 $;1 113 400 грн;Днепр (Днепропетровск)
Nissan X-Trail 2021 N-Connecta New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1884322.html;29 080 $;1 030 000 грн;Харьков
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1884824.html;32 194 $;1 140 320 грн;Винница
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1884319.html;23 283 $;825 620 грн;Винница
Nissan Juke 2022 Visia 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885977.html;15 944 $;565 540 грн;Харьков
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1868004.html;23 144 $;819 750 грн;Винница
Nissan Juke 2021 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1884323.html;20 978 $;743 040 грн;Винница
Nissan X-Trail 2021 Tekna New FL 2.5 CVT (171 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-x-trail-1884321.html;32 194 $;1 140 320 грн;Винница
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885563.html;21 096 $;748 910 грн;Киев
Nissan Juke 2022 N-Connecta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885564.html;21 189 $;752 200 грн;Киев
Nissan Juke 2021 Acenta 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1867618.html;19 023 $;673 800 грн;Харьков
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.) 4WD;https://auto.ria.com/newauto/auto-nissan-qashqai-1885066.html;31 219 $;1 108 280 грн;Винница
Nissan Juke 2022 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885865.html;18 268 $;647 050 грн;Харьков
Nissan Juke 2021 Tekna Sound & Navi 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885873.html;23 283 $;825 620 грн;Винница
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885064.html;28 459 $; 29 283 $;Винница
Nissan Qashqai 2022 N-Connecta 1.3 DIG-T Xtronic (150 к.с.);https://auto.ria.com/newauto/auto-nissan-qashqai-1885065.html;29 530 $;1 047 440 грн;Винница
Nissan Juke 2022 Visia 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885151.html;15 494 $;548 810 грн;Ровно
Nissan Juke 2021 Tekna 1.0 DIG-T 7DCT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1885077.html;21 676 $;769 270 грн;Винница
Nissan Juke 2022 Acenta 1.0 DIG-T MT (114 к.с.);https://auto.ria.com/newauto/auto-nissan-juke-1884723.html;17 687 $;626 480 грн;Харьков
